# z, qspline(z), derivative(z), integral(z)
8.39999999999998 0.871355491807705 -0.483162136600805 1.05859211910778
8.44999999999999 0.846021414667904 -0.530200948991209 1.10153634152225
8.49999999999999 0.818335396908584 -0.577239761381612 1.14315506156425
8.54999999999999 0.788297438529743 -0.624278573772015 1.18333068220279
8.59999999999999 0.755907539531381 -0.671317386162418 1.2219456064069
8.64999999999999 0.7211656999135 -0.718356198552821 1.2588822371456
8.69999999999999 0.684071919676098 -0.765395010943224 1.29402297738792
8.74999999999999 0.644626198819176 -0.812433823333628 1.32725023010289
8.79999999999999 0.602828537342734 -0.859472635724031 1.35844639825952
8.84999999999999 0.558678935246772 -0.906511448114434 1.38749388482684
8.89999999999999 0.51217739253129 -0.953550260504837 1.41427509277387
8.94999999999999 0.463323909196287 -1.00058907289524 1.43867242506964
8.99999999999999 0.412118485241764 -1.04762788528564 1.46056828468317
